Country Code,CO2 per capita,GDP per capita,Energy use per capita,Electric power per capita,GNI per capita
ABW,8.408362638,25528.40378,,,24500
AFG,0.299444991,625.3395388,,,640
AGO,1.291328315,5412.692348,545.0404908,312.4760173,5010
ALB,1.978763312,4578.667934,808.4558396,2309.366503,4540
AND,5.832169951,42294.99473,,,
ARB,4.860233832,7456.598173,1953.28668,2489.220073,7482.555337
ARE,23.30202251,44443.06151,7769.234738,11263.53192,45070
ARG,4.746797455,12245.25645,2015.18704,3052.381937,12260
ARM,1.90275891,3994.712355,1018.07124,1965.783733,4150
ASM,,11598.75174,,,
ATG,5.377648546,12900.903,,,12170
AUS,15.38876602,62403.09553,5334.681679,10071.39898,65060
AUT,6.86986793,51717.49594,3763.327903,8355.841952,50370
AZE,3.931560609,7891.313147,1502.078168,2202.393918,7700
BDI,0.044485376,273.538285,,,260
BEL,8.328159898,47355.31201,4708.221218,7709.123078,46920
BEN,0.614213852,943.686575,416.7957653,100.2263892,930
BFA,0.162018806,703.8216565,,,690
BGD,0.459141965,1084.56543,222.2209592,310.3912261,1070
BGR,5.871615869,7864.760672,2477.655401,4708.927458,7730
BHR,23.44975483,24983.37902,10593.99714,19592.23195,21010
BHS,6.323257512,28671.34697,,,27550
BIH,6.234719162,5204.243718,2194.055976,3365.67394,5170
BLR,6.701957705,8318.51269,2928.520216,3679.97884,7600
BLZ,1.407601494,4813.718033,,,4360
BMU,8.838314988,,,,
BOL,1.932419499,3124.00031,788.8043534,752.6870217,2870
BRA,2.594388285,12026.61939,1484.926638,2601.365506,12020
BRB,4.490177673,16261.79932,,,15670
BRN,22.12470124,41530.66898,8632.325651,10242.7958,42930
BTN,1.289321371,2522.794953,,,2340
BWA,3.243287637,7493.752924,1252.679988,1748.615334,7310
CAF,0.066593111,377.1321263,,,340
CAN,15.11715878,50633.20882,7876.094108,15545.53511,51930
CEB,6.14888254,14151.43364,2470.544318,4115.630201,13506.05662
CHE,4.311562994,86605.56338,3059.936749,7520.166025,86560
CHI,,,,,
CHL,4.687376624,14794.31583,2049.688829,3911.649265,15120
CHN,7.543907641,7683.502613,2236.729908,3927.0445,7520
CIV,0.490206046,1568.627628,615.803314,276.1485663,1460
CMR,0.314928068,1571.182535,341.8626717,280.6666791,1510
COD,0.063369191,487.0814869,389.5673879,108.5823312,440
COG,0.635369293,2910.520226,539.5316172,197.2859935,2520
COL,1.759537174,7974.406373,711.5831798,1289.569693,8020
COM,0.202814119,1511.826037,,,1480
CPV,0.933403237,3532.993527,,,3320
CRI,1.630951062,10630.9979,1031.141495,1957.930248,10170
CSS,8.884541385,10121.31048,,,9644.639733
CUB,3.045210624,7050.493249,1022.668906,1434.032704,6760
CUW,37.72628905,,12650.86044,4797.670436,
CYM,9.171838032,,,,
CYP,5.260352041,27407.15286,1712.124092,3624.895753,26670
CZE,9.165978376,19744.55861,3915.113582,6258.891037,18800
DEU,8.889370395,48142.8272,3779.461921,7035.482975,47820
DJI,0.791961752,1595.146365,,,
DMA,1.864285911,7193.668111,,,6820
DNK,5.935712482,62548.98502,2872.573547,5858.801536,63670
DOM,2.069986634,6348.837769,734.4078962,1578.151662,6170
DZA,3.717409901,5466.425778,1321.099494,1356.264554,5470
EAP,5.775478345,6303.614988,1877.360667,3048.125898,6225.050309
EAR,2.295302152,3430.71477,898.8611711,1149.97034,3443.028126
EAS,6.293604976,9663.544276,2135.593433,3676.783699,9921.316821
ECA,7.421328159,9851.466165,3124.815261,4253.120144,10098.71956
ECS,6.916049326,26234.86696,3159.041601,5372.312866,25944.85551
ECU,2.761702175,6396.630483,891.6886204,1380.610286,6130
EGY,2.198980246,3327.754247,814.9880595,1657.76872,3180
EMU,6.474920548,39884.91309,3266.188831,6352.754127,39340.69899
ERI,,,,,
ESP,5.033824487,29623.16445,2464.641291,5355.987006,29300
EST,14.84881917,20247.1993,4592.616457,6732.367473,18910
ETH,0.119124015,571.1622759,496.8146013,69.71577388,550
EUU,6.379148848,36736.24173,3079.4839,5908.35932,35934.04307
FCS,0.886959024,1806.318884,591.9076425,445.3723279,1747.409721
FIN,8.660721243,49914.61864,6213.357766,15249.98938,48990
FJI,1.320574708,5061.397575,,,4750
FRA,4.573182147,43008.65257,3658.865709,6939.522311,43320
FRO,12.23784857,57543.66906,,,
FSM,1.445435754,3057.24559,,,3240
GAB,2.768265721,9692.182125,2705.823332,1172.887323,9360
GBR,6.49744049,46967.66814,2776.844098,5129.527793,43940
GEO,2.416460496,4438.68465,1180.272753,2693.97276,4500
GHA,0.536533378,1987.983363,335.0505291,354.714053,1940
GIB,15.51348493,,5759.004642,5640.754451,
GIN,0.207492621,743.5912878,,,700
GMB,0.267684889,656.496763,,,590
GNB,0.157241167,610.4684902,,,630
GNQ,4.733816529,19245.65151,,,13140
GRC,6.180337268,21760.9798,2123.897891,5062.606422,22180
GRD,2.275498308,8569.926734,,,7730
GRL,8.989181988,50408.33455,,,
GTM,1.150977994,3687.763767,830.0945159,577.8858859,3460
GUM,,34404.5674,,,
GUY,2.632347952,4031.531939,,,4040
HIC,10.71269229,41712.61907,4638.547772,8834.355966,42264.95118
HKG,6.393600526,40315.28556,1970.484128,6083.269936,40240
HND,1.07522179,2242.707459,607.8646499,630.1355308,2040
HPC,0.26534215,954.7772843,,207.1730082,901.1969208
HRV,3.973804906,13606.89344,1897.840665,3714.382988,13290
HTI,0.270538586,830.1138816,392.8011686,38.96914873,820
HUN,4.265574976,14197.837,2314.496434,3965.958233,13540
